"","gendered_words"
"381","an Gründung einer Universität beteiligte leitende Person"
"382","an Gründung entscheidende beteiligte Person"
"383","an Gymnasium unterrichtende Person;Gymnasialprofessor*in; Gymnasialprofessor_in; Gymnasialprofessor/in"
"384","an Hochschule sich einschreibende Person"
"385","an hohem Blutdruck leidende Person;Hypertoniker*in"
"386","an Katatonie leidende Person;Katatoniker*in"
"387","an Konferenz teilnehmende Person;Konferenzteilnehmer*innen"
"388","an Krebs leidende Person; Person, die eine Krebskrankheit hat"
"389","an Krebserkrankung forschende Person;Krebsforscher*innen"
"390","an Krieg teilnehmende Person"
"391","an Küste wohnende, lebende Person;Küstenbewohner*in"
"392","an Lebensjahren älteste teilnehmende Person einer Versammlung; Alterpräsident*innen"
"393","an Monomanie leidende Person"
"394","an Mutismus leidende Person;Mutist*in; Mutist_in; Mutist/in"
"395","an Narkomanie leidende Person"
"396","an Neuralgie leidende Person"
"397","an Neurodermitis leidende, erkrankte Person;Neurodermitiker*in"
"398","an niedrigem Blutdruck leidende Person;Hypotoniker*in"
"399","an nur einen Gott glaubende Person;Monotheist*innen"
"400","an öffentlicher Meinungsbildung teilnehmende journalistisch tätige Person"
"401","an Okkupation teilnehmende Person"
"402","an Okkupation teilnehmende Person;Okkupator*in"
"403","an Olympiade teilnehmende Person;Olympiateilnehmer*innen"
"404","an Olympiade teilnehmende, siegende Person"
"405","an Ostern demonstrierende Person;Ostermarschierer*innen"
"406","an Paraplegie leidende Person;Paraplegiker*innen"
"407","an Pforte beschäftigte Person;Pförtner*innen"
"408","an Pyromanie leidende Person"
"409","an Raumfahrtunternehmen teilnehmende Person ;Astronaut*innen"
"410","an Revolution beteiligte Person; als Neuerer auftretende Person;Revolutionär*innen"
"411","an russischen Raumfahrtunternehmen teilnehmende Person;Kosmonaut*innen"
"412","an Schauspielunterricht teilnehmende Person; an Balletunterricht teilnehmende Person; Schüler"
"413","an Schule zahnärztliche Tätigkeit verrichtende Person"
"414","an Schulung teilnehmende Person;Schulungsteilnehmer*in"
"415","an Seminar teilnehmende Person;Seminarteilnehmer*innen"
"416","an Spitze einer Wahlliste stehende, kandidierende Person;Spitzenkandidat*innen"
"417","an Staffellauf teilnehmende Person;Staffelläufer*in"
"418","an Syphilis leidende Person;Syphilitiker*in"
"419","an Tagung teilnehmende Person;Tagungteilnehmer*innen"
"420","an Telegrafenapparat Nachrichten empfangende oder übermittelnde Person;Telegraphist*innen"
"421","an Training teilnehmende Person;Trainingsteilnehmer*in"
"422","an Turnier teilnehmende Person"
"423","an Turnieren teilnehmende tanzende Person;Turniertänzer*in"
"424","an Vagotonie leidende Person;Vagotoniker*in"
"425","an verschiedenen Orten predigende Person;Wanderprediger*in"
"426","an Volksschule lehrende Person;Volksschullehrer*innen"
"427","an Wahlen teilnehmende Person; wählende Person;Wähler*innen"
"428","an Wettlauf teilnehmende Person"
